"f","Tt","method","replica","elapsed_time","ess_theta_01","ess_theta_02","ess_W1","ess_W2","ess_theta1_mean","ess_theta1_min","ess_theta2_mean","ess_theta2_min","ess_sec_theta_01","ess_sec_theta_02","ess_sec_W1","ess_sec_W2","ess_sec_theta1_mean","ess_sec_theta2_mean","W1_mean","W1_median","W1_var","W1_ci_lower","W1_ci_upper","W2_mean","W2_median","W2_var","W2_ci_lower","W2_ci_upper","log_lik","rmse_theta1","mae_theta1","coverage_rate_theta1","theta1_ci_width_mean"
"constant",1600,"montoril",128,80.742,121.37931294991,392.07437957852,101.918197498195,688.733070835767,233.115879112861,16.3493340941199,3214.13920616172,128.693654669946,1.50329831995628,4.85589135243764,1.26226991526337,8.53004719768852,2.88716998727875,39.807525280049,0.0029276298885828,0.0028274276750389,6.56406995039224e-07,0.00153142882989562,0.0045809052190492,9.96171118119376e-06,9.54058331058739e-06,7.88173972798027e-12,5.26022175878429e-06,1.54422838758286e-05,-3137.71764523158,0.127674294902424,0.0929365817115925,0.976875,0.49407903390321
"constant",1600,"montoril",129,79.688,135.643958751914,493.772511392389,85.9757487295891,624.996512546966,182.963371198878,8.5083818671348,2016.60152900347,82.877456046048,1.70218801766783,6.1963220483936,1.0789045870092,7.84304427952722,2.29599652643908,25.3062133445873,0.00235065151647255,0.00224600277263814,5.1716936370168e-07,0.00115772264909585,0.00383166595948247,9.49274715003398e-06,9.10985894747881e-06,6.65241919887435e-12,5.06090700592774e-06,1.46483521638905e-05,-3192.50154552391,0.120758774545137,0.0839162416687407,0.961875,0.472971697963081
"constant",1600,"montoril",12,82.205,81.5489809113647,383.335485375762,86.1753988014228,576.319886017195,144.772743916839,6.92867536136538,1377.07130887714,44.2722152099461,0.992019717916972,4.66316507968812,1.04829875070157,7.01076438193778,1.76111847110077,16.7516733638725,0.00183435213148794,0.00176108862379572,3.25600164156365e-07,0.000823764180399796,0.00296839079723586,8.75237190016545e-06,8.46002166985569e-06,4.76671217915598e-12,4.96222234025089e-06,1.32392818335898e-05,-3169.5288793893,0.128320716242609,0.0912596624330625,0.95,0.448717604661511
"constant",1600,"montoril",130,80.022,181.987582924775,575.199387868218,72.7835681525379,703.455195881261,208.968308655547,44.7921368090552,2546.84164015469,428.034427129816,2.27421937623123,7.18801564405061,0.9095444771755,8.79077248608209,2.61138572711938,31.826768140695,0.00261555693086867,0.00254202347801827,6.47498132844646e-07,0.00121380550670578,0.00419116122215387,9.99778870281467e-06,9.55719770195269e-06,8.07738474499724e-12,5.24959475936215e-06,1.57779849915914e-05,-3110.09175711329,0.126211704715867,0.0925139883281773,0.958125,0.485822820064777
"constant",1600,"montoril",131,79.303,79.723715000458,293.315019968003,72.7174387311798,527.985935274925,152.689206134699,10.9330384381392,1478.3862898758,192.47147358683,1.00530515870091,3.69866234528332,0.916956971756173,6.65783053951206,1.92539003738445,18.6422492197748,0.0018994160469279,0.00182483514184381,3.42571364579238e-07,0.000837599995493584,0.00304739069314921,8.6853676458177e-06,8.36657135656129e-06,4.86975173419343e-12,4.88847154651565e-06,1.3066935394414e-05,-3187.28863916149,0.121761100544765,0.0836219156511444,0.95625,0.450476953518888
"constant",1600,"montoril",132,82.413,152.638470876328,512.742491847207,53.5017655859707,541.265954161972,212.744462170593,30.5767800137297,2633.94055483155,279.250180092325,1.85211642430597,6.22162148990095,0.649190850787748,6.56772540936469,2.58144300256747,31.9602557221743,0.00250584582270597,0.00240927247647238,5.29469968423749e-07,0.00124491942372112,0.00397976192725557,8.9433276709019e-06,8.6008160375129e-06,5.73523350498372e-12,4.90855244560099e-06,1.38075804219135e-05,-3184.20544252724,0.118225751171453,0.0830922520084807,0.97125,0.477518788482573
"constant",1600,"montoril",133,83.812,102.171930166001,404.012747172418,78.5758145920049,896.073204795726,158.254755451686,9.16724070676971,1566.24397929784,190.308096143055,1.21906087631844,4.82046421959168,0.937524633608611,10.6914666729791,1.88821118040002,18.6875862561189,0.00196138085646447,0.00191018508745677,3.1814011205044e-07,0.000898114408264919,0.00302716540849254,9.07948839455492e-06,8.71400098692881e-06,5.63114602066196e-12,5.09175064004634e-06,1.38282591400794e-05,-3136.53054560082,0.109397185106418,0.0698531225363518,0.965,0.456242916629369
"constant",1600,"montoril",134,81.467,97.4669339384204,593.693801111298,107.002783233666,691.992667385848,206.287176889774,22.9112684402432,2443.4399234029,162.869164695651,1.19639773084096,7.28753729867674,1.31344941183137,8.49414692312039,2.53215629506148,29.993002361728,0.00258103003854632,0.00250259599676924,5.59765450178132e-07,0.00126867666471175,0.00406359524283254,9.57466243107017e-06,9.24403338293659e-06,6.21562285354997e-12,5.30421036931195e-06,1.45150240593475e-05,-3130.86652990232,0.118205960326161,0.0807654303521115,0.97125,0.484073343080376
"constant",1600,"montoril",135,80.112,96.500958852657,300.413259675233,85.9330342127204,616.603532420976,161.663816485682,11.0506188658614,1604.5779438613,148.893021338312,1.20457557984643,3.74991586373119,1.07266120197624,7.69676867911144,2.01797254450871,20.0291834414482,0.00199207721731081,0.00189453155348659,3.84799556070185e-07,0.000944970260773497,0.0032297772122764,8.9406838102074e-06,8.59395628605498e-06,5.43186629759624e-12,4.97570838064269e-06,1.36789501633562e-05,-3183.88251558312,0.120461700029775,0.0836802894696318,0.955,0.460438712963648
"constant",1600,"montoril",136,83.511,132.17801705805,343.965944120502,88.5666496126185,711.907459667509,159.696168585503,7.55496451264512,1503.51491873046,52.5028108479927,1.58276175663146,4.1188100264696,1.06053872678591,8.52471482400533,1.91227704835894,18.0037949339663,0.00199968978254525,0.00190119044659407,3.910362860536e-07,0.000966568318125037,0.00326207865659658,9.36309669525184e-06,9.03462990742497e-06,5.83233454295834e-12,5.25972078231329e-06,1.41750247104882e-05,-3176.33812584796,0.127428637741834,0.0918189910755011,0.95,0.460550622390022
