"method","f","Tt","replica","rmse_lambda1"
"sir_laplace","linear",200,5,0.412709063748637
"sir_collapsed","linear",200,5,0.424973549159225
"stan","linear",200,5,0.409402847517229
"montoril","quadratic",200,5,0.393609452177386
"pg_apf","quadratic",200,5,0.393837402972192
"sir_laplace","quadratic",200,5,0.399274436341357
"sir_collapsed","quadratic",200,5,0.403651987124494
"stan","quadratic",200,5,0.395991262260219
"montoril","sinusoidal",200,5,0.371746834586406
"pg_apf","sinusoidal",200,5,0.380737632498312
"sir_laplace","sinusoidal",200,5,0.381993583043379
"sir_collapsed","sinusoidal",200,5,0.390521974035398
"stan","sinusoidal",200,5,0.38062550928418
"montoril","constant",400,5,0.576257636738805
"pg_apf","constant",400,5,0.569715153493673
"sir_laplace","constant",400,5,0.569435387963334
"sir_collapsed","constant",400,5,0.569316867524785
"stan","constant",400,5,0.571492685163822
"montoril","linear",400,5,0.315342986881566
"pg_apf","linear",400,5,0.297808822097787
"sir_laplace","linear",400,5,0.29982224900784
"sir_collapsed","linear",400,5,0.300248823693484
"stan","linear",400,5,0.301010616006543
"montoril","quadratic",400,5,0.33449747517903
"pg_apf","quadratic",400,5,0.318662775498887
"sir_laplace","quadratic",400,5,0.320641925774655
"sir_collapsed","quadratic",400,5,0.323612298833003
"stan","quadratic",400,5,0.318946773638418
"montoril","sinusoidal",400,5,0.319804517773696
"pg_apf","sinusoidal",400,5,0.30314310403277
"sir_laplace","sinusoidal",400,5,0.307064568878936
"sir_collapsed","sinusoidal",400,5,0.312129087087367
"stan","sinusoidal",400,5,0.30950983622389
"montoril","constant",800,5,0.553617762087173
"pg_apf","constant",800,5,0.546627575146807
"sir_laplace","constant",800,5,0.547822743712557
"sir_collapsed","constant",800,5,0.547870709203495
"stan","constant",800,5,0.545113975586129
"montoril","linear",800,5,0.34101057481087
"pg_apf","linear",800,5,0.330999872038385
"sir_laplace","linear",800,5,0.336710562606653
"sir_collapsed","linear",800,5,0.340815907485223
"stan","linear",800,5,0.333061571395973
"montoril","quadratic",800,5,0.346181578437037
"pg_apf","quadratic",800,5,0.3550163728179
"sir_laplace","quadratic",800,5,0.357480561126668
"sir_collapsed","quadratic",800,5,0.360714137234898
"stan","quadratic",800,5,0.359284832881302
"montoril","sinusoidal",800,5,0.390833641362473
"pg_apf","sinusoidal",800,5,0.380877687399098
"sir_laplace","sinusoidal",800,5,0.383040799210819
"sir_collapsed","sinusoidal",800,5,0.389337531216225
"stan","sinusoidal",800,5,0.383340919298262
"montoril","constant",1600,5,0.480792889549824
"pg_apf","constant",1600,5,0.474382411556882
"sir_laplace","constant",1600,5,0.480002691698444
"sir_collapsed","constant",1600,5,0.481012057960048
"stan","constant",1600,5,0.475815563196674
"montoril","linear",1600,5,0.361353718598866
"pg_apf","linear",1600,5,0.358193784939906
"sir_laplace","linear",1600,5,0.360786763659657
"sir_collapsed","linear",1600,5,0.364314016972398
"stan","linear",1600,5,0.361583016055092
"montoril","quadratic",1600,5,0.349733366080327
"pg_apf","quadratic",1600,5,0.344608369116759
"sir_laplace","quadratic",1600,5,0.347178457058739
"sir_collapsed","quadratic",1600,5,0.350430351607823
"stan","quadratic",1600,5,0.342029720452443
"montoril","sinusoidal",1600,5,0.365775434598525
"pg_apf","sinusoidal",1600,5,0.363935868193824
"sir_laplace","sinusoidal",1600,5,0.367394958270992
"sir_collapsed","sinusoidal",1600,5,0.372052965187958
"stan","sinusoidal",1600,5,0.363458466262168
"montoril","constant",200,6,0.762475176951456
"pg_apf","constant",200,6,0.772798308969445
"sir_laplace","constant",200,6,0.769946991737847
"sir_collapsed","constant",200,6,0.772759342587169
"stan","constant",200,6,0.769218894885174
"montoril","linear",200,6,0.400978202248126
"pg_apf","linear",200,6,0.389732309832022
"sir_laplace","linear",200,6,0.392443695255771
"sir_collapsed","linear",200,6,0.400344646865246
"stan","linear",200,6,0.394117381915117
"montoril","quadratic",200,6,0.379450128582518
"pg_apf","quadratic",200,6,0.372410558356972
"sir_laplace","quadratic",200,6,0.373846446447163
"sir_collapsed","quadratic",200,6,0.380381772881635
"stan","quadratic",200,6,0.374232991333818
"montoril","sinusoidal",200,6,0.387470887249894
"pg_apf","sinusoidal",200,6,0.397904693106361
"sir_laplace","sinusoidal",200,6,0.394636509997552
"sir_collapsed","sinusoidal",200,6,0.400361770893249
"stan","sinusoidal",200,6,0.393905902494826
"montoril","constant",400,6,0.775290196502139
"pg_apf","constant",400,6,0.768598870093491
"sir_laplace","constant",400,6,0.758997784535033
"sir_collapsed","constant",400,6,0.76005399175588
"stan","constant",400,6,0.768629657025156
"montoril","linear",400,6,0.452729995008338
"pg_apf","linear",400,6,0.451994754522625
"sir_laplace","linear",400,6,0.450016332902325
"sir_collapsed","linear",400,6,0.450390706428188
"stan","linear",400,6,0.45869034473715
"montoril","quadratic",400,6,0.438733916104669
"pg_apf","quadratic",400,6,0.432485273882026
"sir_laplace","quadratic",400,6,0.425520731231692
"sir_collapsed","quadratic",400,6,0.42730738615687
"stan","quadratic",400,6,0.433310461327675
"montoril","sinusoidal",400,6,0.470994060902961
"pg_apf","sinusoidal",400,6,0.461749806732125
"sir_laplace","sinusoidal",400,6,0.463765790484216
"sir_collapsed","sinusoidal",400,6,0.45741055145858
"stan","sinusoidal",400,6,0.467518206496797
"montoril","constant",800,6,0.598822890662969
"pg_apf","constant",800,6,0.595256900185856
"sir_laplace","constant",800,6,0.597500967846095
"sir_collapsed","constant",800,6,0.596197941540705
"stan","constant",800,6,0.598745790177818
"montoril","linear",800,6,0.401300249557808
"pg_apf","linear",800,6,0.399260629347556
"sir_laplace","linear",800,6,0.398701528171956
"sir_collapsed","linear",800,6,0.398285910460349
